Number,Artist,Streams,Feats,Tracks,Billion,Million
428,Chris Stapleton,"3,024,791,697","1,117,326,282",60,0,9
429,Lil Yachty,"3,023,049,234",0,190,0,6
430,Quavo,"3,022,133,428","62,540,256",85,0,8
431,Los Ángeles Azules,"3,020,957,267","876,355,276",303,0,6
432,NLE Choppa,"3,018,674,271","1,134",125,0,5
433,Feid,"3,009,497,561","436,178,161",146,0,5
434,Journey,"3,008,391,718","3,853,999,824",278,1,5
435,The Vamps,"3,006,139,960","194,535,961",148,0,8
436,BROCKHAMPTON,"3,002,168,774",0,113,0,5
437,Soda Stereo,"3,000,230,369","4,310,489,285",198,0,5
438,The Black Keys,"2,995,726,401","1,036,388,958",199,0,5
439,Liam Payne,"2,990,601,102","937,757,024",51,0,8
440,Mike Posner,"2,987,016,135","5,692,666,319",183,1,4
441,Weezer,"2,970,962,554","606,712,238",271,0,4
442,Korn,"2,968,839,699","1,690,872,391",293,0,5
443,El Alfa,"2,966,087,446","3,762,124",193,0,9
444,Tim McGraw,"2,964,965,833","1,427,914,798",318,0,7
445,Madison Beer,"2,958,196,752","231,488,539",54,0,11
446,Imanbek,"2,957,190,912","138,810,390",65,1,5
447,Rise Against,"2,955,084,542","543,326,342",185,0,5
448,The Doors,"2,953,574,273","2,887,125,495",724,0,7
449,Maren Morris,"2,940,819,852","24,281,620",68,1,6
450,Mau y Ricky,"2,936,936,952","1,808,585,763",66,0,6
